SMILES,chembl_ahr_pchembl
O=C(c1cccc(C(F)(F)F)n1)c1c[nH]c2ccccc12,8.809999999999999
O=C(c1n[nH]c2c(F)cccc12)N1CCNc2ccccc2C1,9.55
O=C(c1n[nH]c2c(F)cccc12)N1CCOc2ccccc2C1,9.64
O=C(c1n[nH]c2ccc(F)cc12)N1CCOc2ccncc2C1,9.55
O=C(c1n[nH]c2ccccc12)N1CCNc2ccc(F)cc2C1,9.81
O=C(c1n[nH]c2ccccc12)N1CCOc2cccc(F)c2C1,9.39
O=C(c1n[nH]c2ccccc12)N1CCOc2ccncc2C1,9.62
O=C1/C(=C/c2n[nH]c3ccccc23)NC(=S)N1C1CC1,7.28
O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,7.035
O=C1NC(=S)N/C1=C\c1n[nH]c2ccccc12,6.79
O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,9.7
O=C1c2cc(Br)c(Cl)cc2C[C@H]2c3ccccc3CCN12,8.82
O=C1c2ccccc2-c2nc3ccccc3nc21,5.91
O=Cc1c(Cc2c[nH]c3c(Cl)cccc23)[nH]c2ccccc12,6.5
O=Cc1c(Cc2c[nH]c3ccc(Cl)cc23)[nH]c2ccccc12,7.03
O=Cc1c(Cc2c[nH]c3ccccc23)[nH]c2ccccc12,6.57
O=Cc1c2[nH]c3ccccc3c2cc2[nH]c3ccccc3c12,8.69
O=Nc1c(-c2c(O)[nH]c3c(Br)cccc23)[nH]c2ccccc12,4.7
O=S(=O)(NNc1ncc(C(F)(F)F)cc1Cl)c1ccc(F)cc1F,5.47
O=[N+]([O-])c1cc(-c2nc(-c3ccncc3)no2)cc([N+](=O)[O-])c1,5.57
O=[N+]([O-])c1cnc(Nc2ccc(Cl)cn2)c([N+](=O)[O-])c1,5.89
O=c1c(Cc2c[nH]c3ccccc23)nccc2c1[nH]c1ccccc12,7.92
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,7.55
O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,5.87
O=c1c2cccc3cccc(c32)c2nc3ccc(Cl)cc3n12,8.59
O=c1cc(-c2c(F)cccc2F)oc2ccc3ccccc3c12,6.7
O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,5.85
O=c1cc(-c2ccccc2F)oc2ccc3ccccc3c12,6.48
O=c1cc(-c2ccccn2)oc2ccc3ccccc3c12,6.35
O=c1nc(Nc2ccc(Br)cc2)sc2ccc([N+](=O)[O-])cc12,5.29
OC(c1ccncc1)(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,5.8
OCc1csc(C(O)c2c[nH]c3ccccc23)n1,7.5
Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCNCC1,5.28
Oc1ccc(C(c2ccccn2)c2cccs2)cc1,4.88
Oc1oc(-c2ccccc2)nc1/C=N/c1nccs1,4.91
[O-][n+]1c(-c2ccc(Br)cc2)nc2c(Br)cccn21,6.43
[O-][n+]1c(-c2ccc(Br)cc2)nc2cc(Br)ccn21,7.21
[O-][n+]1c(-c2ccc(Br)cc2)nc2cc(Cl)ccn21,6.57
[O-][n+]1c(-c2ccc(Br)cc2)nc2cc(F)ccn21,7.08
[O-][n+]1c(-c2ccc(Br)cc2)nc2ccc(Br)cn21,9.57
